ID,ACH Linear Fit,R Square Linear Fit,Date,Total Data Point,Index to slice,Id
10,3.748929923364232,0.9805307039243762,2023-01-13,76,0,10
10,4.299079040744104,0.9857156321346825,2023-02-10,66,0,10
10,4.5922643535651675,0.9894383534580502,2023-02-24,57,0,10
10,3.7934058567036772,0.9953653870718663,2023-03-10,66,0,10
10,4.080203694554527,0.9955695706622049,2023-03-24,63,0,10
10,4.445002765812119,0.994981198654257,2023-04-21,57,0,10
10,2.434789329696302,0.9920528513363577,2023-05-12,94,0,10
10,6.003800566286116,0.9630290572356237,2023-05-19,56,0,10
10,2.551383450448463,0.994770588493827,2023-05-05,89,0,10
14,6.157610051303688,0.9504780894709637,2023-01-27,41,34,14
14,6.70940429720624,0.9626299391484039,2023-02-10,31,0,14
14,6.052190212125856,0.8775181188632744,2023-02-24,19,18,14
14,9.538449170767965,0.9406310733219942,2023-03-10,30,24,14
14,4.775406450447775,0.9584700949233531,2023-04-21,60,0,14
14,5.7144725466733055,0.8994081962504359,2023-05-12,38,33,14
14,6.343850757300206,0.9671153270313556,2023-05-19,54,44,14
14,6.043021255034135,0.9711212386929574,2023-05-05,44,0,14
15,4.054753965506697,0.99048940843838,2023-01-13,64,0,15
15,5.356586799305117,0.9543488465101292,2023-01-27,56,0,15
15,4.312103525252701,0.9601925247512415,2022-12-23,28,0,15
15,6.248561950484209,0.9928368474876121,2023-02-10,43,0,15
15,6.198565811525631,0.9951885093562184,2023-02-24,44,0,15
15,6.2351028760811165,0.9962056708258207,2023-03-10,40,0,15
15,5.937380077288669,0.988084060264123,2023-03-24,39,0,15
15,6.134628732749327,0.9938172000488796,2023-04-21,48,0,15
15,5.903787411184201,0.9921690612829224,2023-05-12,47,0,15
15,5.205383656761256,0.9944805257017553,2023-05-19,53,0,15
15,5.960050109550524,0.9947986648238115,2023-05-05,48,0,15
16,2.5611135653683235,0.9352198350558134,2023-01-13,160,77,16
16,2.45313803722885,0.9378163743119884,2023-01-27,78,56,16
16,3.387056128792846,0.9297538223515496,2022-12-23,39,31,16
16,5.022747714434693,0.9788153507496747,2023-02-10,58,34,16
16,4.397884513195867,0.9673626163703221,2023-02-24,52,31,16
16,3.3869080621287972,0.92725847849486,2023-03-10,57,56,16
16,5.6096875549501535,0.9838317239925225,2023-03-24,48,20,16
16,4.12013443832518,0.9526379777674513,2023-05-12,48,0,16
16,3.288500257987931,0.9178278092164204,2023-05-19,76,49,16
16,4.404459613212005,0.9726893455360967,2023-05-05,61,38,16
18,4.970057514932086,0.9926882290930825,2023-01-27,51,0,18
18,3.641246624678961,0.9838369836814553,2022-12-23,54,0,18
18,4.160417179471549,0.9943326859446727,2023-02-10,70,0,18
18,4.275838291467139,0.9944863829306169,2023-02-24,67,0,18
18,3.840127292401161,0.9933830308894684,2023-03-10,79,0,18
