ID,ACH Linear Fit,R Square Linear Fit,Date,Total Data Point,Index to slice,Id
10,2.6046247212497784,0.955631544684081,2023-01-12,114,72,10
10,2.4957943476767435,0.9947511428462241,2023-01-26,104,0,10
10,1.750512925058803,0.9411375416239335,2022-12-18,182,58,10
10,2.33754313294581,0.9953103210613363,2023-02-23,116,81,10
10,2.4691308003735255,0.9517338003139914,2023-02-09,103,83,10
10,1.9656508090727083,0.9800342462482287,2023-03-09,124,0,10
10,2.2124210316738693,0.9937667190168058,2023-03-23,116,0,10
10,1.9952911901986337,0.9924407899092944,2023-04-06,132,0,10
10,3.9283485798792395,0.9933202852334828,2023-04-07,66,0,10
10,2.0135879194125494,0.9893156513231834,2023-04-20,121,0,10
10,2.3440165370681094,0.9918327959330491,2023-05-11,107,0,10
10,2.29664565805254,0.9679795738444439,2023-05-18,122,0,10
10,2.1426108585741295,0.9906365132403029,2023-05-04,108,0,10
14,2.516788643024721,0.9170515822967297,2023-01-12,69,0,14
14,2.3816451467496664,0.919276480328086,2023-01-26,104,0,14
14,2.4228371304713834,0.9259372830711996,2023-11-28,51,0,14
14,1.748890526281038,0.9325414649060102,2022-12-22,66,0,14
14,3.066939453786256,0.9181807610450426,2023-02-23,56,0,14
14,2.98118282977789,0.9635801056009982,2023-02-09,63,0,14
14,2.8381506769536293,0.9684614248988438,2023-03-09,47,0,14
14,3.3558117779090835,0.9167422115448441,2023-03-23,67,0,14
14,2.0430701154301563,0.9193647078888209,2023-04-06,150,0,14
14,5.468645233533436,0.9675490918079728,2023-04-07,65,0,14
14,2.3922458923054606,0.9412106736952589,2023-04-20,100,0,14
14,1.901198496361113,0.907135118249867,2023-05-11,112,0,14
14,2.239691669917503,0.9640371834291293,2023-05-18,117,0,14
14,2.5228182182123793,0.9700778850116369,2023-05-04,92,0,14
15,1.868248912706262,0.9934584761971135,2023-01-12,146,0,15
15,2.439568074921492,0.9798347717879377,2023-01-26,126,0,15
15,0.22326808403087828,0.9797362859937473,2022-12-11,546,0,15
15,1.2184751131676475,0.9586907317158199,2022-12-18,101,0,15
15,2.5374979128198203,0.9675960803522573,2022-12-22,49,0,15
15,2.336432960342302,0.9934958228185748,2023-02-23,106,0,15
15,1.761370096090506,0.9261359666236417,2023-02-09,129,0,15
15,1.7245387547332727,0.9521797514742781,2023-03-09,146,0,15
15,2.534753670867766,0.9923073589186183,2023-03-23,101,0,15
15,2.0065342407376145,0.9902626500032301,2023-04-06,134,0,15
15,6.1614220954625,0.993607667514977,2023-04-07,42,0,15
15,2.1341987051633553,0.9769096426621233,2023-04-20,124,0,15
15,1.7431565680395367,0.9660580537291954,2023-05-11,149,0,15
15,1.8511008951182424,0.9520320326432815,2023-05-18,140,0,15
15,1.77933778621995,0.929904444699417,2023-05-04,814,151,15
16,0.4223208100115492,0.9352031703285137,2023-01-12,503,0,16
16,1.2642911617133128,0.9279244042219535,2023-01-26,158,0,16
16,2.174982948762947,0.6890123674361966,2022-12-11,51,25,16
16,1.3280164577927895,0.8992493456506286,2022-12-22,94,89,16
16,2.030872047508742,0.9444408171668355,2023-02-23,76,0,16
16,1.7585027854248305,0.935893596414584,2023-02-09,102,0,16
16,1.7796699856527727,0.9090995931284883,2023-03-09,96,0,16
16,2.184928661150033,0.9496763671917958,2023-03-23,84,64,16
16,1.7186628249034845,0.9128826570752526,2023-04-06,202,85,16
16,2.9469243911226033,0.9523195663198336,2023-04-07,60,0,16
16,2.4484975407110627,0.9156835958452543,2023-05-11,75,0,16
16,2.506565783297962,0.9289838688647531,2023-05-18,95,73,16
16,2.5090514499399306,0.9226171038540448,2023-05-04,71,0,16
18,2.2080552573141166,0.9899722803797215,2023-01-12,111,0,18
18,3.0464135758093085,0.9895930801413813,2023-01-26,85,0,18
18,1.0136067515440128,0.92923901622913,2022-12-11,116,0,18
18,1.999759500734858,0.9687166245755076,2022-12-22,98,0,18
18,2.3305586943620646,0.9841855963473507,2023-02-23,107,0,18
18,2.6260429696720244,0.981867257844974,2023-02-09,100,0,18
18,1.8198360578702937,0.9823700114155038,2023-03-09,142,0,18
18,2.17014898716998,0.9934566561320655,2023-03-23,120,0,18
